cand_index,p_anomaly,uncertainty,stress_proxy,tda_delta_score,final_score,selected
113,0.01828,0.03656,0.18237,,9.49E-02,True
51,0.12115,0.24230,-0.13910,,8.97E-02,True
35,0.15016,0.30033,-0.26814,,7.29E-02,True
104,0.19138,0.38275,-0.41213,,6.48E-02,True
149,0.06053,0.12107,-0.02616,,6.22E-02,True
139,0.27599,0.55197,-0.69712,,5.23E-02,True
59,0.03622,0.07245,0.00000,,4.35E-02,True
26,0.56830,0.86340,-1.19448,,4.02E-02,True
97,0.12202,0.24404,-0.29216,,2.96E-02,True
56,0.06495,0.12989,-0.12100,,2.95E-02,True
14,0.06542,0.13083,-0.15424,,1.68E-02,True
121,0.72682,0.54636,-0.78616,,1.34E-02,True
19,0.03042,0.06084,-0.15747,,-2.65E-02,True
3,0.13533,0.27066,-0.50376,,-3.91E-02,True
94,0.07543,0.15085,-0.32665,,-4.01E-02,True
29,0.04774,0.09549,-0.24710,,-4.15E-02,True
86,0.25232,0.50464,-0.87773,,-4.83E-02,True
66,0.06198,0.12396,-0.32193,,-5.44E-02,True
33,0.09946,0.19891,-0.43966,,-5.65E-02,True
45,0.25994,0.51988,-0.92125,,-5.66E-02,True
55,0.09600,0.19200,-0.48929,,-8.05E-02,True
138,0.06988,0.13976,-0.45963,,-1.00E-01,True
50,0.10375,0.20750,-0.58183,,-1.08E-01,True
1,0.38258,0.76515,-1.47351,,-1.30E-01,True
82,0.13576,0.27151,-0.74934,,-1.37E-01,True
115,0.04778,0.09556,-0.50664,,-1.45E-01,False
106,0.03488,0.06976,-0.46940,,-1.46E-01,False
130,0.07935,0.15871,-0.61737,,-1.52E-01,False
53,0.08612,0.17223,-0.65159,,-1.57E-01,False
42,0.03555,0.07110,-0.50855,,-1.61E-01,False
70,0.08637,0.17275,-0.67862,,-1.68E-01,False
129,0.17769,0.35539,-0.95320,,-1.68E-01,False
90,0.05536,0.11072,-0.60168,,-1.74E-01,False
95,0.04442,0.08883,-0.58521,,-1.81E-01,False
21,0.10310,0.20621,-0.81488,,-2.02E-01,False
152,0.10888,0.21776,-0.84635,,-2.08E-01,False
18,0.18094,0.36188,-1.12388,,-2.32E-01,False
78,0.06771,0.13542,-0.79047,,-2.35E-01,False
100,0.04041,0.08082,-0.72471,,-2.41E-01,False
84,0.05646,0.11291,-0.79955,,-2.52E-01,False
92,0.10579,0.21157,-0.99708,,-2.72E-01,False
38,0.25190,0.50379,-1.49456,,-2.96E-01,False
61,0.10129,0.20258,-1.06011,,-3.02E-01,False
63,0.08970,0.17941,-1.03171,,-3.05E-01,False
34,0.06837,0.13674,-0.98453,,-3.12E-01,False
81,0.04932,0.09864,-0.94875,,-3.20E-01,False
151,0.33891,0.67782,-1.86494,,-3.39E-01,False
105,0.06744,0.13487,-1.16383,,-3.85E-01,False
127,0.01908,0.03816,-1.07925,,-4.09E-01,False
87,0.04892,0.09784,-1.19602,,-4.20E-01,False
88,0.03140,0.06279,-1.14640,,-4.21E-01,False
67,0.04345,0.08691,-1.23230,,-4.41E-01,False
20,0.03526,0.07052,-1.22573,,-4.48E-01,False
135,0.16122,0.32244,-1.67973,,-4.78E-01,False
119,0.07016,0.14031,-1.51483,,-5.22E-01,False
58,0.06573,0.13145,-1.63810,,-5.76E-01,False
76,0.05985,0.11969,-1.82463,,-6.58E-01,False
23,0.03804,0.07608,-1.91834,,-7.22E-01,False
13,0.09051,0.18101,-2.14087,,-7.48E-01,False
101,0.02272,0.04543,-1.94697,,-7.52E-01,False
49,0.04769,0.09539,-2.15305,,-8.04E-01,False
9,0.02169,0.04338,-2.11986,,-8.22E-01,False
